date,positive,death,
1/13/20,0,0,
1/14/20,0,0,
1/15/20,0,0,
1/16/20,0,0,
1/17/20,0,0,
1/18/20,0,0,
1/19/20,1,0,
1/20/20,1,0,
1/21/20,2,0,
1/22/20,2,0,
1/23/20,2,0,
1/24/20,2,0,
1/25/20,2,0,
1/26/20,2,0,
1/27/20,2,0,
1/28/20,2,0,
1/29/20,2,0,
1/30/20,2,0,
1/31/20,2,0,
2/1/20,2,0,
2/2/20,2,0,
2/3/20,3,0,
2/4/20,3,0,
2/5/20,3,0,
2/6/20,5,0,
2/7/20,5,0,
2/8/20,5,0,
2/9/20,5,0,
2/10/20,5,0,
2/11/20,5,0,
2/12/20,5,0,
2/13/20,6,0,
2/14/20,7,0,
2/15/20,7,0,
2/16/20,7,0,
2/17/20,7,0,
2/18/20,7,0,
2/19/20,7,0,
2/20/20,7,0,
2/21/20,7,0,
2/22/20,7,0,
2/23/20,8,0,
2/24/20,9,0,
2/25/20,10,0,
2/26/20,12,2,
2/27/20,13,2,
2/28/20,15,4,
2/29/20,18,5,
3/1/20,42,8,
3/2/20,72,11,
3/3/20,114,14,
3/4/20,242,16,
3/5/20,307,20,
3/6/20,445,26,
3/7/20,587,27,
3/8/20,757,31,
3/9/20,1061,35,
3/10/20,1497,37,
3/11/20,1915,43,
3/12/20,2592,52,
3/13/20,3450,57,
3/14/20,4476,65,
3/15/20,5738,80,
3/16/20,7449,102,
3/17/20,9577,126,
3/18/20,12934,152,
3/19/20,17540,203,
3/20/20,23640,273,
3/21/20,30580,335,
3/22/20,39808,480,
3/23/20,50998,582,
3/24/20,61894,817,
3/25/20,74551,1058,
3/26/20,92143,1371,
3/27/20,111358,1782,
3/28/20,131143,2332,
3/29/20,150826,2838,
3/30/20,171965,3422,
3/31/20,196965,4331,
4/1/20,223169,5337,
4/2/20,251304,6512,
4/3/20,283139,7800,
4/4/20,316261,9278,
4/5/20,342104,10618,
4/6/20,370364,11932,
4/7/20,400780,13974,
4/8/20,431744,15973,
4/9/20,466736,18027,
4/10/20,500514,20108,
4/11/20,531837,22187,
4/12/20,560005,23885,
4/13/20,584141,25515,
4/14/20,610084,27871,
4/15/20,639918,30412,
4/16/20,671184,32608,
4/17/20,702684,34724,
4/18/20,730257,36620,
4/19/20,757187,38385,
4/20/20,781563,40199,
4/21/20,808917,42677,
4/22/20,838190,44827,
4/23/20,870128,46633,
4/24/20,901345,48606,
4/25/20,942042,50240,
4/26/20,969366,51452,
4/27/20,991770,52726,
4/28/20,1017002,54804,
4/29/20,1043181,57493,
4/30/20,1073244,59646,
5/1/20,1106124,61458,
5/2/20,1135275,62979,
5/3/20,1161034,64226,
5/4/20,1183140,65209,
5/5/20,1205532,67705,
5/6/20,1230844,69636,
5/7/20,1258072,72368,
5/8/20,1285270,74156,
5/9/20,1310550,75615,
5/10/20,1331662,76642,
5/11/20,1349742,77531,
5/12/20,1372263,79049,
5/13/20,1393744,80778,
5/14/20,1420540,82624,
5/15/20,1445947,84161,
5/16/20,1469782,85410,
5/17/20,1490166,86272,
5/18/20,1510779,87125,
5/19/20,1531479,88452,
5/20/20,1552850,89847,
5/21/20,1579601,91228,
5/22/20,1603728,92514,
5/23/20,1626210,93549,
5/24/20,1645332,94238,
5/25/20,1663875,94794,
5/26/20,1680551,95462,
5/27/20,1699744,96802,
5/28/20,1722588,98037,
5/29/20,1746212,99208,
5/30/20,1769755,100129,
5/31/20,1791449,100783,
6/1/20,1811478,101459,
6/2/20,1831387,102441,
6/3/20,1851551,103414,
6/4/20,1872063,104296,
6/5/20,1895109,105128,
6/6/20,1917778,105837,
6/7/20,1936858,106287,
6/8/20,1953793,106959,
6/9/20,1970726,107853,
6/10/20,1991599,108745,
6/11/20,2013575,109641,
6/12/20,2036727,110407,
6/13/20,2062186,111097,
6/14/20,2083815,111451,
6/15/20,2102051,111834,
6/16/20,2124908,112560,
6/17/20,2149114,113338,
6/18/20,2176098,114017,
6/19/20,2206985,114674,
6/20/20,2239217,115285,
6/21/20,2268399,115576,
6/22/20,2295216,115864,
6/23/20,2328662,116592,
6/24/20,2367793,117296,
6/25/20,2407513,117950,
6/26/20,2451813,118558,
6/27/20,2494917,119068,
6/28/20,2536646,119339,
6/29/20,2576014,119675,
6/30/20,2623046,120258,
7/1/20,2674090,120954,
7/2/20,2727601,121653,
7/3/20,2781815,122255,
7/4/20,2836661,122550,
7/5/20,2882035,122764,
7/6/20,2922937,122997,
7/7/20,2973928,123903,
7/8/20,3036743,124722,
7/9/20,3095806,125584,
7/10/20,3162914,126425,
7/11/20,3225498,127178,
7/12/20,3287100,127649,
7/13/20,3344244,127978,
7/14/20,3402862,128720,
7/15/20,3472234,129584,
7/16/20,3542727,130524,
7/17/20,3619225,131462,
7/18/20,3683998,132339,
7/19/20,3748205,132865,
7/20/20,3804914,133241,
7/21/20,3867801,134284,
7/22/20,3937243,135433,
7/23/20,4008669,136504,
7/24/20,4083764,137678,
7/25/20,4148552,138690,
7/26/20,4209320,139251,
7/27/20,4263804,140317,
7/28/20,4322256,141428,
7/29/20,4386412,142933,
7/30/20,4455391,144183,
7/31/20,4523226,145507,
8/1/20,4583866,146708,
8/2/20,4637188,147204,
8/3/20,4679931,147720,
8/4/20,4731136,148962,
8/5/20,4783827,150316,
8/6/20,4837872,151558,
8/7/20,4898709,152880,
8/8/20,4952201,153966,
8/9/20,5002967,154587,
8/10/20,5044337,155017,
8/11/20,5099272,156337,
8/12/20,5155458,157854,
8/13/20,5207221,159017,
8/14/20,5264365,160243,
8/15/20,5320368,161470,
8/16/20,5362871,162087,
8/17/20,5400622,162498,
8/18/20,5440692,163677,
8/19/20,5485765,165088,
8/20/20,5529609,166217,
8/21/20,5576086,167336,
8/22/20,5622119,168371,
8/23/20,5660019,168948,
8/24/20,5694562,169289,
8/25/20,5731401,170429,
8/26/20,5775732,171729,
8/27/20,5819843,172857,
8/28/20,5865958,173877,
8/29/20,5909953,174894,
8/30/20,5948719,175371,
8/31/20,5980439,175751,
9/1/20,6022681,176765,
9/2/20,6053348,177800,
9/3/20,6097979,178872,
9/4/20,6149579,179871,
9/5/20,6194439,180797,
9/6/20,6227472,181249,
9/7/20,6255589,181476,
9/8/20,6277899,181823,
9/9/20,6308655,182911,
9/10/20,6346041,184072,
9/11/20,6390739,185087,
9/12/20,6432589,185904,
9/13/20,6467168,186296,
9/14/20,6500740,186703,
9/15/20,6535518,187737,
9/16/20,6575837,188927,
9/17/20,6619479,189807,
9/18/20,6666368,190708,
9/19/20,6712036,191455,
9/20/20,6747569,191782,
9/21/20,6786731,192063,
9/22/20,6835717,192922,
9/23/20,6875215,194078,
9/24/20,6918556,195016,
9/25/20,6973834,195863,
9/26/20,7021061,196736,
9/27/20,7056051,197046,
9/28/20,7091427,197292,
9/29/20,7128193,198016,
9/30/20,7173102,199080,
10/1/20,7218822,199942,
10/2/20,7268249,200784,
10/3/20,7319123,201522,
10/4/20,7357288,201902,
10/5/20,7395040,202233,
10/6/20,7433886,202846,
10/7/20,7485102,203775,
10/8/20,7540410,204754,
10/9/20,7597495,205668,
10/10/20,7655038,206358,
10/11/20,7701761,206830,
10/12/20,7745009,207114,
10/13/20,7791923,207832,
10/14/20,7849163,208633,
10/15/20,7912804,209561,
10/16/20,7981309,210452,
10/17/20,8038984,211232,
10/18/20,8086941,211637,
10/19/20,8144591,212080,
10/20/20,8205165,212913,
10/21/20,8268021,213964,
10/22/20,8340294,215058,
10/23/20,8422869,216007,
10/24/20,8506661,216903,
10/25/20,8571132,217294,
10/26/20,8634562,217691,
10/27/20,8706817,218613,
10/28/20,8786517,219660,
10/29/20,8875882,220720,
10/30/20,8973824,221667,
10/31/20,9065117,222625,
11/1/20,9207091,223035,
11/2/20,9290545,223510,
11/3/20,9410494,225027,
11/4/20,9516490,226158,
11/5/20,9635513,227312,
11/6/20,9765503,228497,
11/7/20,9897616,229622,
11/8/20,10010061,230135,
11/9/20,10128464,230712,
11/10/20,10264033,232070,
11/11/20,10413366,233647,
11/12/20,10570908,234759,
11/13/20,10745541,236060,
11/14/20,10913267,237413,
11/15/20,11060329,238125,
11/16/20,11210306,238732,
11/17/20,11370132,240285,
11/18/20,11538352,242170,
11/19/20,11726284,244180,
11/20/20,11923448,246090,
11/21/20,12109833,247641,
11/22/20,12264021,248564,
11/23/20,12418717,249417,
11/24/20,12585220,251508,
11/25/20,12773716,253789,
11/26/20,12903480,255181,
11/27/20,13102354,256585,
11/28/20,13253823,257828,
11/29/20,13391077,258653,
11/30/20,13541108,259690,
12/1/20,13722291,262179,
12/2/20,13925720,264990,
12/3/20,14141991,267812,
12/4/20,14372304,270375,
12/5/20,14591374,272861,
12/6/20,14773954,274024,
12/7/20,14955851,275315,
12/8/20,15173695,277995,
12/9/20,15390423,281164,
12/10/20,15611269,284296,
12/11/20,15848202,287043,
12/12/20,16075106,289540,
12/13/20,16262357,291041,
12/14/20,16455643,292398,
12/15/20,16648861,295322,
12/16/20,16883149,298775,
12/17/20,17126119,302240,
12/18/20,17367905,305106,
12/19/20,17572778,307814,
12/20/20,17770272,309482,
12/21/20,17949678,310962,
12/22/20,18142686,314099,
12/23/20,18367212,317492,
12/24/20,18573896,320450,
12/25/20,18700692,322003,
12/26/20,18891286,323429,
12/27/20,19044826,324826,
12/28/20,19208953,326316,
12/29/20,19408632,329605,
12/30/20,19638128,333505,
12/31/20,19864374,336802,
1/1/21,20047280,339394,
1/2/21,20327598,341800,
1/3/21,20536055,343255,
1/4/21,20715626,344802,
1/5/21,20934701,348286,
1/6/21,21184885,352188,
1/7/21,21456928,356267,
1/8/21,21752049,360047,
1/9/21,22021417,363584,
1/10/21,22250149,365652,
1/11/21,22445404,367385,
1/12/21,22663424,371449,
1/13/21,22887915,375536,
1/14/21,23113531,379451,
1/15/21,23359985,383130,
1/16/21,23578070,386839,
1/17/21,23765288,388892,
1/18/21,23916080,390287,
1/19/21,24062706,392428,
1/20/21,24251909,396837,
1/21/21,24438184,400715,
1/22/21,24629099,404695,
1/23/21,24806217,408286,
1/24/21,24950451,410230,
1/25/21,25083905,411823,
1/26/21,25230353,415557,
1/27/21,25384338,419634,
1/28/21,25541644,423645,
1/29/21,25708755,427148,
1/30/21,25857579,430130,
1/31/21,25976946,432189,
2/1/21,26097146,433751,
2/2/21,26214762,437237,
2/3/21,26331722,440922,
2/4/21,26455629,446134,
2/5/21,26586775,449677,
2/6/21,26701332,452671,
2/7/21,26797326,454146,
2/8/21,26875063,455455,
2/9/21,26968049,458250,
2/10/21,27063243,461695,
2/11/21,27165660,465568,
2/12/21,27266690,470995,
2/13/21,27357332,474462,
2/14/21,27429496,475828,
2/15/21,27484573,476906,
2/16/21,27540885,478259,
2/17/21,27607724,480607,
2/18/21,27674548,483223,
2/19/21,27749224,485700,
2/20/21,27821578,487860,
2/21/21,27880280,489147,
2/22/21,27932810,490382,
2/23/21,28001915,492623,
2/24/21,28075173,495070,
2/25/21,28150738,498208,
2/26/21,28225595,500349,
2/27/21,28296840,502196,
2/28/21,28351189,503247,
3/1/21,28399281,504488,
3/2/21,28453529,506216,
3/3/21,28520365,508665,
3/4/21,28585852,510408,
3/5/21,28654639,512629,
3/6/21,28714654,514309,
3/7/21,28756489,515151,
